 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2012
"Município";"Óbitos_p/Residênc"
"353800 Pindamonhangaba";2
"353820 Pinhalzinho";1
"353850 Piquete";2
"353860 Piracaia";1
"353870 Piracicaba";45
"353880 Piraju";1
"353890 Pirajuí";2
"353900 Pirangi";1
"353920 Pirapozinho";1
"353930 Pirassununga";5
"353940 Piratininga";2
"353950 Pitangueiras";4
"353980 Poá";7
"354000 Pompéia";2
"354020 Pontal";1
"354030 Pontes Gestal";1
"354060 Porto Feliz";2
"354070 Porto Ferreira";11
"354075 Potim";2
"354100 Praia Grande";33
"354120 Presidente Bernardes";1
"354130 Presidente Epitácio";1
"354140 Presidente Prudente";19
"354150 Presidente Venceslau";1
"354160 Promissão";2
"354170 Quatá";1
"354200 Quintana";1
"354240 Regente Feijó";1
"354260 Registro";1
"354270 Restinga";1
"354330 Ribeirão Pires";4
"354340 Ribeirão Preto";58
"354390 Rio Claro";10
"354420 Riolândia";1
"354425 Rosana";1
"354430 Roseira";1
"354440 Rubiácea";1
"354500 Salesópolis";1
"354515 Saltinho";1
"354520 Salto";1
"354530 Salto de Pirapora";2
"354540 Salto Grande";2
"354560 Santa Adélia";1
"354580 Santa Bárbara d'Oeste";9
"354600 Santa Branca";2
"354630 Santa Cruz das Palmeiras";1
"354640 Santa Cruz do Rio Pardo";1
"354660 Santa Fé do Sul";5
"354670 Santa Gertrudes";1
"354680 Santa Isabel";6
"354750 Santa Rita do Passa Quatro";1
"354765 Santa Salete";1
"354730 Santana de Parnaíba";3
"354770 Santo Anastácio";1
"354780 Santo André";44
"354800 Santo Antônio de Posse";1
"354850 Santos";37
"354870 São Bernardo do Campo";34
"354880 São Caetano do Sul";17
"354890 São Carlos";29
"354910 São João da Boa Vista";4
"354920 São João das Duas Pontes";1
"354940 São Joaquim da Barra";4
"354950 São José da Bela Vista";1
"354970 São José do Rio Pardo";1
"354980 São José do Rio Preto";47
"354990 São José dos Campos";32
"355010 São Manuel";2
"355020 São Miguel Arcanjo";1
"355030 São Paulo";788
"355040 São Pedro";1
"355060 São Roque";7
"355070 São Sebastião";3
"355090 São Simão";1
"355100 São Vicente";40
"355110 Sarapuí";1
"355140 Serra Azul";2
"355150 Serrana";4
"355170 Sertãozinho";6
"355180 Sete Barras";1
"355210 Socorro";1
"355220 Sorocaba";30
"355240 Sumaré";8
"355255 Suzanápolis";1
"355250 Suzano";9
"355280 Taboão da Serra";15
"355300 Taguaí";1
"355330 Tambaú";1
"355340 Tanabi";2
"355350 Tapiraí";1
"355370 Taquaritinga";6
"355380 Taquarituba";1
"355400 Tatuí";16
"355410 Taubaté";33
"355420 Tejupá";1
"355440 Terra Roxa";1
"355480 Tremembé";3
"355500 Tupã";4
"355510 Tupi Paulista";3
"355535 Ubarana";1
"355540 Ubatuba";7
"355600 Urupês";1
"355610 Valentim Gentil";1
"355620 Valinhos";2
"355640 Vargem Grande do Sul";3
"355645 Vargem Grande Paulista";1
"355650 Várzea Paulista";4
"355670 Vinhedo";1
"355680 Viradouro";1
"355690 Vista Alegre do Alto";1
"355695 Vitória Brasil";1
"355700 Votorantim";6
"355710 Votuporanga";9
"350000 Município ignorado - SP";4
"Total";2670
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
