 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2011
"Município";"Óbitos_p/Residênc"
"354090 Pradópolis";1
"354100 Praia Grande";34
"354120 Presidente Bernardes";1
"354130 Presidente Epitácio";6
"354140 Presidente Prudente";20
"354160 Promissão";2
"354190 Queluz";2
"354210 Rafard";1
"354220 Rancharia";1
"354250 Reginópolis";1
"354260 Registro";2
"354330 Ribeirão Pires";3
"354340 Ribeirão Preto";69
"354390 Rio Claro";16
"354400 Rio das Pedras";1
"354410 Rio Grande da Serra";2
"354420 Riolândia";1
"354430 Roseira";1
"354440 Rubiácea";1
"354500 Salesópolis";1
"354515 Saltinho";1
"354520 Salto";4
"354530 Salto de Pirapora";2
"354580 Santa Bárbara d'Oeste";7
"354600 Santa Branca";1
"354640 Santa Cruz do Rio Pardo";3
"354660 Santa Fé do Sul";1
"354680 Santa Isabel";2
"354730 Santana de Parnaíba";6
"354770 Santo Anastácio";3
"354780 Santo André";47
"354800 Santo Antônio de Posse";1
"354805 Santo Antônio do Aracanguá";1
"354850 Santos";53
"354870 São Bernardo do Campo";40
"354880 São Caetano do Sul";3
"354890 São Carlos";28
"354900 São Francisco";1
"354910 São João da Boa Vista";3
"354940 São Joaquim da Barra";1
"354970 São José do Rio Pardo";1
"354980 São José do Rio Preto";50
"354990 São José dos Campos";48
"354995 São Lourenço da Serra";1
"355010 São Manuel";3
"355030 São Paulo";874
"355040 São Pedro";2
"355060 São Roque";2
"355070 São Sebastião";4
"355090 São Simão";1
"355100 São Vicente";46
"355110 Sarapuí";1
"355140 Serra Azul";1
"355160 Serra Negra";2
"355150 Serrana";2
"355170 Sertãozinho";6
"355180 Sete Barras";1
"355190 Severínia";1
"355200 Silveiras";1
"355210 Socorro";1
"355220 Sorocaba";46
"355230 Sud Mennucci";1
"355240 Sumaré";6
"355250 Suzano";10
"355280 Taboão da Serra";26
"355360 Tapiratiba";2
"355365 Taquaral";2
"355370 Taquaritinga";7
"355400 Tatuí";11
"355410 Taubaté";42
"355430 Teodoro Sampaio";1
"355480 Tremembé";2
"355500 Tupã";2
"355510 Tupi Paulista";2
"355540 Ubatuba";9
"355560 Uchoa";1
"355610 Valentim Gentil";1
"355620 Valinhos";6
"355630 Valparaíso";5
"355635 Vargem";1
"355645 Vargem Grande Paulista";1
"355650 Várzea Paulista";6
"355670 Vinhedo";4
"355700 Votorantim";8
"355710 Votuporanga";6
"350000 Município ignorado - SP";16
"Total";2922
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
